x	y	key	PANEL	group
2	-12.9914165203505	5 4	6	6
2.07070707070707	-13.1040258093382	5 4	6	6
2.14141414141414	-13.2122601499125	5 4	6	6
2.21212121212121	-13.3164038390275	5 4	6	6
2.28282828282828	-13.41671433181	5 4	6	6
2.35353535353535	-13.5134255177335	5 4	6	6
2.42424242424242	-13.6067505117178	5 4	6	6
2.4949494949495	-13.6968840438635	5 4	6	6
2.56565656565657	-13.7840045151513	5 4	6	6
2.63636363636364	-13.8682757736151	5 4	6	6
2.70707070707071	-13.949848655394	5 4	6	6
2.77777777777778	-14.0288623270512	5 4	6	6
2.84848484848485	-14.1054454591427	5 4	6	6
2.91919191919192	-14.1797172558696	5 4	6	6
2.98989898989899	-14.2517883614864	5 4	6	6
3.06060606060606	-14.3217616607546	5 4	6	6
3.13131313131313	-14.3897329879646	5 4	6	6
3.2020202020202	-14.4557917567807	5 4	6	6
3.27272727272727	-14.5200215212854	5 4	6	6
3.34343434343434	-14.5825004770514	5 4	6	6
3.41414141414141	-14.6433019097719	5 4	6	6
3.48484848484849	-14.7024945979014	5 4	6	6
3.55555555555556	-14.7601431748499	5 4	6	6
3.62626262626263	-14.8163084555113	5 4	6	6
3.6969696969697	-14.8710477312587	5 4	6	6
3.76767676767677	-14.9244150369911	5 4	6	6
3.83838383838384	-14.9764613933516	5 4	6	6
3.90909090909091	-15.0272350268349	5 4	6	6
3.97979797979798	-15.0767815701637	5 4	6	6
4.05050505050505	-15.1251442450193	5 4	6	6
4.12121212121212	-15.1723640289585	5 4	6	6
4.19191919191919	-15.2184798081313	5 4	6	6
4.26262626262626	-15.2635285172244	5 4	6	6
4.33333333333333	-15.3075452678927	5 4	6	6
4.4040404040404	-15.3505634667947	5 4	6	6
4.47474747474747	-15.3926149242284	5 4	6	6
4.54545454545455	-15.4337299542487	5 4	6	6
4.61616161616162	-15.4739374670588	5 4	6	6
4.68686868686869	-15.5132650543772	5 4	6	6
4.75757575757576	-15.5517390684136	5 4	6	6
4.82828282828283	-15.5893846950182	5 4	6	6
4.8989898989899	-15.626226021514	5 4	6	6
4.96969696969697	-15.6622860996679	5 4	6	6
5.04040404040404	-15.6975870042131	5 4	6	6
5.11111111111111	-15.7321498872962	5 4	6	6
5.18181818181818	-15.7659950291818	5 4	6	6
5.25252525252525	-15.7991418855227	5 4	6	6
5.32323232323232	-15.831609131468	5 4	6	6
5.39393939393939	-15.8634147028618	5 4	6	6
5.46464646464647	-15.8945758347586	5 4	6	6
5.53535353535354	-15.9251090974626	5 4	6	6
5.60606060606061	-15.9550304302799	5 4	6	6
5.67676767676768	-15.9843551731554	5 4	6	6
5.74747474747475	-16.013098096351	5 4	6	6
5.81818181818182	-16.0412734283101	5 4	6	6
5.88888888888889	-16.0688948818381	5 4	6	6
5.95959595959596	-16.0959756787211	5 4	6	6
6.03030303030303	-16.1225285728925	5 4	6	6
6.1010101010101	-16.148565872249	5 4	6	6
6.17171717171717	-16.1740994592101	5 4	6	6
6.24242424242424	-16.1991408101062	5 4	6	6
6.31313131313131	-16.2237010134746	5 4	6	6
6.38383838383838	-16.2477907873371	5 4	6	6
6.45454545454545	-16.2714204955254	5 4	6	6
6.52525252525253	-16.2946001631176	5 4	6	6
6.5959595959596	-16.3173394910427	5 4	6	6
6.66666666666667	-16.3396478699061	5 4	6	6
6.73737373737374	-16.3615343930861	5 4	6	6
6.80808080808081	-16.3830078691469	5 4	6	6
6.87878787878788	-16.4040768336097	5 4	6	6
6.94949494949495	-16.4247495601223	5 4	6	6
7.02020202020202	-16.4450340710634	5 4	6	6
7.09090909090909	-16.4649381476155	5 4	6	6
7.16161616161616	-16.4844693393374	5 4	6	6
7.23232323232323	-16.5036349732676	5 4	6	6
7.3030303030303	-16.5224421625838	5 4	6	6
7.37373737373737	-16.5408978148458	5 4	6	6
7.44444444444445	-16.5590086398449	5 4	6	6
7.51515151515152	-16.5767811570822	5 4	6	6
7.58585858585859	-16.5942217028968	5 4	6	6
7.65656565656566	-16.6113364372634	5 4	6	6
7.72727272727273	-16.6281313502773	5 4	6	6
7.7979797979798	-16.6446122683439	5 4	6	6
7.86868686868687	-16.6607848600896	5 4	6	6
7.93939393939394	-16.676654642007	5 4	6	6
8.01010101010101	-16.6922269838514	5 4	6	6
8.08080808080808	-16.7075071137987	5 4	6	6
8.15151515151515	-16.7225001233795	5 4	6	6
8.22222222222222	-16.7372109721999	5 4	6	6
8.29292929292929	-16.7516444924602	5 4	6	6
8.36363636363636	-16.7658053932816	5 4	6	6
8.43434343434343	-16.7796982648508	5 4	6	6
8.50505050505051	-16.7933275823921	5 4	6	6
8.57575757575757	-16.8066977099741	5 4	6	6
8.64646464646465	-16.8198129041613	5 4	6	6
8.71717171717172	-16.8326773175159	5 4	6	6
8.78787878787879	-16.8452950019586	5 4	6	6
8.85858585858586	-16.8576699119952	5 4	6	6
8.92929292929293	-16.8698059078139	5 4	6	6
9	-16.8817067582615	5 4	6	6
9	-16.3948172785314	5 4	6	6
9.04545454545454	-16.413623206755	5 4	6	6
9.09090909090909	-16.4321639868113	5 4	6	6
9.13636363636364	-16.4504422635863	5 4	6	6
9.18181818181818	-16.4684606425878	5 4	6	6
9.22727272727273	-16.486221690723	5 4	6	6
9.27272727272727	-16.5037279370576	5 4	6	6
9.31818181818182	-16.5209818735557	5 4	6	6
9.36363636363636	-16.5379859558021	5 4	6	6
9.40909090909091	-16.554742603707	5 4	6	6
9.45454545454546	-16.5712542021935	5 4	6	6
9.5	-16.5875231018693	5 4	6	6
9.54545454545454	-16.6035516196813	5 4	6	6
9.59090909090909	-16.6193420395556	5 4	6	6
9.63636363636364	-16.6348966130222	5 4	6	6
9.68181818181818	-16.6502175598241	5 4	6	6
9.72727272727273	-16.6653070685137	5 4	6	6
9.77272727272727	-16.6801672970338	5 4	6	6
9.81818181818182	-16.6948003732861	5 4	6	6
9.86363636363636	-16.7092083956863	5 4	6	6
9.90909090909091	-16.723393433706	5 4	6	6
9.95454545454546	-16.7373575284029	5 4	6	6
10	-16.7511026929386	5 4	6	6
10.0454545454545	-16.7646309130843	5 4	6	6
10.0909090909091	-16.7779441477159	5 4	6	6
10.1363636363636	-16.7910443292973	5 4	6	6
10.1818181818182	-16.8039333643531	5 4	6	6
10.2272727272727	-16.8166131339306	5 4	6	6
10.2727272727273	-16.8290854940523	5 4	6	6
10.3181818181818	-16.8413522761571	5 4	6	6
10.3636363636364	-16.8534152875331	5 4	6	6
10.4090909090909	-16.8652763117401	5 4	6	6
10.4545454545455	-16.8769371090232	5 4	6	6
10.5	-16.8883994167176	5 4	6	6
10.5454545454545	-16.8996649496441	5 4	6	6
10.5909090909091	-16.9107354004968	5 4	6	6
10.6363636363636	-16.9216124402219	5 4	6	6
10.6818181818182	-16.9322977183888	5 4	6	6
10.7272727272727	-16.9427928635531	5 4	6	6
10.7727272727273	-16.9530994836122	5 4	6	6
10.8181818181818	-16.9632191661529	5 4	6	6
10.8636363636364	-16.9731534787924	5 4	6	6
10.9090909090909	-16.9829039695115	5 4	6	6
10.9545454545455	-16.9924721669816	5 4	6	6
11	-17.001859580884	5 4	6	6
11.0454545454545	-17.0110677022236	5 4	6	6
11.0909090909091	-17.0200980036356	5 4	6	6
11.1363636363636	-17.0289519396857	5 4	6	6
11.1818181818182	-17.0376309471649	5 4	6	6
11.2272727272727	-17.046136445378	5 4	6	6
11.2727272727273	-17.0544698364256	5 4	6	6
11.3181818181818	-17.0626325054818	5 4	6	6
11.3636363636364	-17.0706258210651	5 4	6	6
11.4090909090909	-17.0784511353043	5 4	6	6
11.4545454545455	-17.0861097841996	5 4	6	6
11.5	-17.0936030878777	5 4	6	6
11.5454545454545	-17.1009323508425	5 4	6	6
11.5909090909091	-17.1080988622204	5 4	6	6
11.6363636363636	-17.1151038960014	5 4	6	6
11.6818181818182	-17.1219487112749	5 4	6	6
11.7272727272727	-17.1286345524612	5 4	6	6
11.7727272727273	-17.1351626495385	5 4	6	6
11.8181818181818	-17.1415342182654	5 4	6	6
11.8636363636364	-17.1477504603998	5 4	6	6
11.9090909090909	-17.1538125639121	5 4	6	6
11.9545454545455	-17.1597217031962	5 4	6	6
12	-17.1654790392751	5 4	6	6
12.0454545454545	-17.1710857200032	5 4	6	6
12.0909090909091	-17.1765428802648	5 4	6	6
12.1363636363636	-17.1818516421687	5 4	6	6
12.1818181818182	-17.1870131152391	5 4	6	6
12.2272727272727	-17.1920283966035	5 4	6	6
12.2727272727273	-17.1968985711762	5 4	6	6
12.3181818181818	-17.2016247118393	5 4	6	6
12.3636363636364	-17.2062078796195	5 4	6	6
12.4090909090909	-17.2106491238627	5 4	6	6
12.4545454545455	-17.2149494824044	5 4	6	6
12.5	-17.2191099817378	5 4	6	6
12.5454545454545	-17.2231316371779	5 4	6	6
12.5909090909091	-17.227015453024	5 4	6	6
12.6363636363636	-17.2307624227177	5 4	6	6
12.6818181818182	-17.2343735289995	5 4	6	6
12.7272727272727	-17.2378497440613	5 4	6	6
12.7727272727273	-17.2411920296976	5 4	6	6
12.8181818181818	-17.2444013374526	5 4	6	6
12.8636363636364	-17.2474786087655	5 4	6	6
12.9090909090909	-17.2504247751132	5 4	6	6
12.9545454545455	-17.2532407581505	5 4	6	6
13	-17.2559274698472	5 4	6	6
13.0454545454545	-17.2584858126239	5 4	6	6
13.0909090909091	-17.2609166794844	5 4	6	6
13.1363636363636	-17.2632209541466	5 4	6	6
13.1818181818182	-17.2653995111706	5 4	6	6
13.2272727272727	-17.2674532160849	5 4	6	6
13.2727272727273	-17.2693829255103	5 4	6	6
13.3181818181818	-17.2711894872816	5 4	6	6
13.3636363636364	-17.2728737405676	5 4	6	6
13.4090909090909	-17.2744365159887	5 4	6	6
13.4545454545455	-17.2758786357323	5 4	6	6
