colour	x	y	group	key	showSelectedlegendcolour	PANEL
#000000	2	-0.0794415416798358	1	2 20	0	1
#000000	2	-2.15888308335967	1	2 20	0	1
#000000	2	-4.93147180559945	1	2 20	0	1
#000000	2	-5.79790578129938	1	2 20	0	1
#000000	2	-7.01091334727929	1	2 20	0	1
#000000	2	-5.74014351625272	1	2 20	0	1
#000000	2.18181818181818	-0.158657490830543	1	2 20	0	1
#000000	2.18181818181818	-2.49913316347927	1	2 20	0	1
#000000	2.18181818181818	-5.61976739367757	1	2 20	0	1
#000000	2.18181818181818	-6.59496559061454	1	2 20	0	1
#000000	2.18181818181818	-7.96024306632629	1	2 20	0	1
#000000	2.18181818181818	-6.5299523774854	1	2 20	0	1
#000000	2.36363636363636	-0.216967432032971	1	2 20	0	1
#000000	2.36363636363636	-2.79757122770231	1	2 20	0	1
#000000	2.36363636363636	-6.23837628859475	1	2 20	0	1
#000000	2.36363636363636	-7.31362787012364	1	2 20	0	1
#000000	2.36363636363636	-8.81898008426409	1	2 20	0	1
#000000	2.36363636363636	-7.24194443135505	1	2 20	0	1
#000000	2.54545454545455	-0.257473166675954	1	2 20	0	1
#000000	2.54545454545455	-3.06040087880645	1	2 20	0	1
#000000	2.54545454545455	-6.79763782831379	1	2 20	0	1
#000000	2.54545454545455	-7.96552437503483	1	2 20	0	1
#000000	2.54545454545455	-9.60056554044429	1	2 20	0	1
#000000	2.54545454545455	-7.88766527192009	1	2 20	0	1
#000000	2.72727272727273	-0.282633599318627	1	2 20	0	1
#000000	2.72727272727273	-3.29253992590998	1	2 20	0	1
#000000	2.72727272727273	-7.30574836136512	1	2 20	0	1
#000000	2.72727272727273	-8.55987599744486	1	2 20	0	1
#000000	2.72727272727273	-10.3156546879565	1	2 20	0	1
#000000	2.72727272727273	-8.47626748837287	1	2 20	0	1
#000000	2.90909090909091	-0.294430980913159	1	2 20	0	1
#000000	2.90909090909091	-3.49795287091723	1	2 20	0	1
#000000	2.90909090909091	-7.76931539092265	1	2 20	0	1
#000000	2.90909090909091	-9.10411617842435	1	2 20	0	1
#000000	2.90909090909091	-10.9728372809267	1	2 20	0	1
#000000	2.90909090909091	-9.01512945925757	1	2 20	0	1
#000000	3.09090909090909	-0.294486664544282	1	2 20	0	1
#000000	3.09090909090909	-3.67988241999765	1	2 20	0	1
#000000	3.09090909090909	-8.19374342726882	1	2 20	0	1
#000000	3.09090909090909	-9.60432499204106	1	2 20	0	1
#000000	3.09090909090909	-11.5791391827222	1	2 20	0	1
#000000	3.09090909090909	-9.51028622105624	1	2 20	0	1
#000000	3.27272727272727	-0.284143724245946	1	2 20	0	1
#000000	3.27272727272727	-3.84101472121917	1	2 20	0	1
#000000	3.27272727272727	-8.58350938385012	1	2 20	0	1
#000000	3.27272727272727	-10.0655389659223	1	2 20	0	1
#000000	3.27272727272727	-12.1403803808233	1	2 20	0	1
#000000	3.27272727272727	-9.96673699378415	1	2 20	0	1
#000000	3.45454545454545	-0.264527206238591	1	2 20	0	1
#000000	3.45454545454545	-3.98359986702264	1	2 20	0	1
#000000	3.45454545454545	-8.9423634147347	1	2 20	0	1
#000000	3.45454545454545	-10.4919770233947	1	2 20	0	1
#000000	3.45454545454545	-12.6614360755187	1	2 20	0	1
#000000	3.45454545454545	-10.388669449484	1	2 20	0	1
#000000	3.63636363636364	-0.236588907583061	1	2 20	0	1
#000000	3.63636363636364	-4.10954145152976	1	2 20	0	1
#000000	3.63636363636364	-9.27347817679202	1	2 20	0	1
#000000	3.63636363636364	-10.8872084034365	1	2 20	0	1
#000000	3.63636363636364	-13.1464307207387	1	2 20	0	1
#000000	3.63636363636364	-10.7796263883268	1	2 20	0	1
#000000	3.81818181818182	-0.201141218273175	1	2 20	0	1
#000000	3.81818181818182	-4.22046425472817	1	2 20	0	1
#000000	3.81818181818182	-9.57956163666816	1	2 20	0	1
#000000	3.81818181818182	-11.2542795685244	1	2 20	0	1
#000000	3.81818181818182	-13.5988846731232	1	2 20	0	1
#000000	3.81818181818182	-11.1426317064007	1	2 20	0	1
#000000	4	-0.158883083359672	1	2 20	0	1
#000000	4	-4.31776616671934	1	2 20	0	1
#000000	4	-9.86294361119891	1	2 20	0	1
#000000	4	-11.5958115625988	1	2 20	0	1
#000000	4	-14.0218266945586	1	2 20	0	1
#000000	4	-11.4802870325054	1	2 20	0	1
#000000	4.18181818181818	-0.110420189253992	1	2 20	0	1
#000000	4.18181818181818	-4.40265856032617	1	2 20	0	1
#000000	4.18181818181818	-10.1256430550891	1	2 20	0	1
#000000	4.18181818181818	-11.9140757097025	1	2 20	0	1
#000000	4.18181818181818	-14.4178814261612	1	2 20	0	1
#000000	4.18181818181818	-11.7948468660616	1	2 20	0	1
#000000	4.36363636363636	-0.0562808506921977	1	2 20	0	1
#000000	4.36363636363636	-4.47619806502076	1	2 20	0	1
#000000	4.36363636363636	-10.3694210174588	1	2 20	0	1
#000000	4.36363636363636	-12.2110531900957	1	2 20	0	1
#000000	4.36363636363636	-14.7893382317874	1	2 20	0	1
#000000	4.36363636363636	-12.0882777119199	1	2 20	0	1
#000000	4.54545454545455	0.00307134756521865	1	2 20	0	1
#000000	4.54545454545455	-4.53931185032411	1	2 20	0	1
#000000	4.54545454545455	-10.5958227808432	1	2 20	0	1
#000000	4.54545454545455	-12.4884824466304	1	2 20	0	1
#000000	4.54545454545455	-15.1382059787325	1	2 20	0	1
#000000	4.54545454545455	-12.3623051355779	1	2 20	0	1
#000000	4.72727272727273	0.0672273899235565	1	2 20	0	1
#000000	4.72727272727273	-4.59281794742562	1	2 20	0	1
#000000	4.72727272727273	-10.8062117305578	1	2 20	0	1
#000000	4.72727272727273	-12.7478972877867	1	2 20	0	1
#000000	4.72727272727273	-15.466257067907	1	2 20	0	1
#000000	4.72727272727273	-12.6184515839714	1	2 20	0	1
#000000	4.90909090909091	0.135824587793198	1	2 20	0	1
#000000	4.90909090909091	-4.63744173350451	1	2 20	0	1
#000000	4.90909090909091	-11.0017968285681	1	2 20	0	1
#000000	4.90909090909091	-12.9906577957755	1	2 20	0	1
#000000	4.90909090909091	-15.7750631498658	1	2 20	0	1
#000000	4.90909090909091	-12.8580670646283	1	2 20	0	1
#000000	5.09090909090909	0.208539837098755	1	2 20	0	1
#000000	5.09090909090909	-4.67382941671158	1	2 20	0	1
#000000	5.09090909090909	-11.1836550884587	1	2 20	0	1
#000000	5.09090909090909	-13.2179756108797	1	2 20	0	1
#000000	5.09090909090909	-16.066024342269	1	2 20	0	1
#000000	5.09090909090909	-13.0823542427183	1	2 20	0	1
#000000	5.27272727272727	0.285084059483127	1	2 20	0	1
#000000	5.27272727272727	-4.70255915376102	1	2 20	0	1
#000000	5.27272727272727	-11.3527501047532	1	2 20	0	1
#000000	5.27272727272727	-13.4309347769383	1	2 20	0	1
#000000	5.27272727272727	-16.3403933179974	1	2 20	0	1
#000000	5.27272727272727	-13.2923891321259	1	2 20	0	1
#000000	5.45454545454546	0.365197586274265	1	2 20	0	1
#000000	5.45454545454546	-4.72415028199693	1	2 20	0	1
#000000	5.45454545454546	-11.5099474396918	1	2 20	0	1
#000000	5.45454545454546	-13.6305090514715	1	2 20	0	1
#000000	5.45454545454546	-16.599295307963	1	2 20	0	1
#000000	5.45454545454546	-13.4891382773529	1	2 20	0	1
#000000	5.63636363636364	0.448646299623474	1	2 20	0	1
#000000	5.63636363636364	-4.73907103711669	1	2 20	0	1
#000000	5.63636363636364	-11.6560274861036	1	2 20	0	1
#000000	5.63636363636364	-13.817576376412	1	2 20	0	1
#000000	5.63636363636364	-16.8437448228437	1	2 20	0	1
#000000	5.63636363636364	-13.6734731170581	1	2 20	0	1
#000000	5.81818181818182	0.535218386497915	1	2 20	0	1
#000000	5.81818181818182	-4.74774504518599	1	2 20	0	1
#000000	5.81818181818182	-11.7916962874312	1	2 20	0	1
#000000	5.81818181818182	-13.9929310506328	1	2 20	0	1
#000000	5.81818181818182	-17.0746597191151	1	2 20	0	1
#000000	5.81818181818182	-13.8461820664194	1	2 20	0	1
#000000	6	0.624721592315835	1	2 20	0	1
#000000	6	-4.75055681536833	1	2 20	0	1
#000000	6	-11.9175946922805	1	2 20	0	1
#000000	6	-14.1572940288156	1	2 20	0	1
#000000	6	-17.2928730999647	1	2 20	0	1
#000000	6	-14.0079807397133	1	2 20	0	1
#000000	6.18181818181818	0.716980884684974	1	2 20	0	1
#000000	6.18181818181818	-4.74785641244823	1	2 20	0	1
#000000	6.18181818181818	-12.0343061419592	1	2 20	0	1
#000000	6.18181818181818	-14.3113216824314	1	2 20	0	1
#000000	6.18181818181818	-17.4991434390924	1	2 20	0	1
#000000	6.18181818181818	-14.1595206463999	1	2 20	0	1
#000000	6.36363636363636	0.811836455883398	1	2 20	0	1
#000000	6.36363636363636	-4.73996345186957	1	2 20	0	1
#000000	6.36363636363636	-12.1423633288735	1	2 20	0	1
#000000	6.36363636363636	-14.4556132904373	1	2 20	0	1
#000000	6.36363636363636	-17.6941632366265	1	2 20	0	1
#000000	6.36363636363636	-14.301396626333	1	2 20	0	1
#000000	6.54545454545455	0.909142006801491	1	2 20	0	1
#000000	6.54545454545455	-4.72717053185156	1	2 20	0	1
#000000	6.54545454545455	-12.2422539167223	1	2 20	0	1
#000000	6.54545454545455	-14.5907174744944	1	2 20	0	1
#000000	6.54545454545455	-17.8785664553754	1	2 20	0	1
#000000	6.54545454545455	-14.4341532373096	1	2 20	0	1
#000000	6.72727272727273	1.00876326605533	1	2 20	0	1
#000000	6.72727272727273	-4.70974619516207	1	2 20	0	1
#000000	6.72727272727273	-12.3344254767853	1	2 20	0	1
#000000	6.72727272727273	-14.7171377522925	1	2 20	0	1
#000000	6.72727272727273	-18.0529349380027	1	2 20	0	1
#000000	6.72727272727273	-14.5582902672587	1	2 20	0	1
#000000	6.90909090909091	1.11057670662703	1	2 20	0	1
#000000	6.90909090909091	-4.68793749583686	1	2 20	0	1
#000000	6.90909090909091	-12.4192897657887	1	2 20	0	1
#000000	6.90909090909091	-14.8353373501486	1	2 20	0	1
#000000	6.90909090909091	-18.2178039682526	1	2 20	0	1
#000000	6.90909090909091	-14.6742675111913	1	2 20	0	1
