x	y	key	showSelected1	PANEL
13.5	-5.11002201750189	1	3	2
13.5	-5.11002201750189	1	4	2
13.5	-5.11002201750189	1	5	2
11	-21.2188300331625	4	4	3
17.5	-17.2503678967362	3	5	4
