xmin	xmax	key	showSelected1	PANEL	group
9	20	2	2	1	-1
13.5	20	3	2	1	-1
14	20	4	2	1	-1
17.6666666666667	20	5	2	1	-1
12.8	20	6	2	1	-1
13.5	20	3	3	1	-1
18	20	4	3	1	-1
18	20	5	3	1	-1
17.6666666666667	20	6	3	1	-1
13.5	20	4	4	1	-1
18	20	5	4	1	-1
14	20	6	4	1	-1
13.5	20	5	5	1	-1
18	20	6	5	1	-1
2	13.5	3	3	2	-1
2	15	4	3	2	-1
2	17.5	5	3	2	-1
2	13.5	4	4	2	-1
2	15	5	4	2	-1
2	11	6	4	2	-1
2	13.5	5	5	2	-1
2	15	6	5	2	-1
15	20	4	4	3	-1
11	20	6	4	3	-1
17.5	20	5	5	3	-1
2	17.5	5	5	4	-1
