colour	x	y	group	key	showSelectedlegendcolour	PANEL
#000000	2	-0.0794415416798358	1	2 20	0	1
#000000	2	-2.15888308335967	1	2 20	0	1
#000000	2	-0.0794415416798358	1	2 20	0	1
#000000	2.18181818181818	-0.158657490830543	1	2 20	0	1
#000000	2.18181818181818	-2.49913316347927	1	2 20	0	1
#000000	2.18181818181818	-0.158657490830543	1	2 20	0	1
#000000	2.36363636363636	-0.216967432032971	1	2 20	0	1
#000000	2.36363636363636	-2.79757122770231	1	2 20	0	1
#000000	2.36363636363636	-0.216967432032971	1	2 20	0	1
#000000	2.54545454545455	-0.257473166675954	1	2 20	0	1
#000000	2.54545454545455	-3.06040087880645	1	2 20	0	1
#000000	2.54545454545455	-0.257473166675954	1	2 20	0	1
#000000	2.72727272727273	-0.282633599318627	1	2 20	0	1
#000000	2.72727272727273	-3.29253992590998	1	2 20	0	1
#000000	2.72727272727273	-0.282633599318627	1	2 20	0	1
#000000	2.90909090909091	-0.294430980913159	1	2 20	0	1
#000000	2.90909090909091	-3.49795287091723	1	2 20	0	1
#000000	2.90909090909091	-0.294430980913159	1	2 20	0	1
#000000	3.09090909090909	-0.294486664544282	1	2 20	0	1
#000000	3.09090909090909	-3.67988241999765	1	2 20	0	1
#000000	3.09090909090909	-0.294486664544282	1	2 20	0	1
#000000	3.27272727272727	-0.284143724245946	1	2 20	0	1
#000000	3.27272727272727	-3.84101472121917	1	2 20	0	1
#000000	3.27272727272727	-0.284143724245946	1	2 20	0	1
#000000	3.45454545454545	-0.264527206238591	1	2 20	0	1
#000000	3.45454545454545	-3.98359986702264	1	2 20	0	1
#000000	3.45454545454545	-0.264527206238591	1	2 20	0	1
#000000	3.63636363636364	-0.236588907583061	1	2 20	0	1
#000000	3.63636363636364	-4.10954145152976	1	2 20	0	1
#000000	3.63636363636364	-0.236588907583061	1	2 20	0	1
#000000	3.81818181818182	-0.201141218273175	1	2 20	0	1
#000000	3.81818181818182	-4.22046425472817	1	2 20	0	1
#000000	3.81818181818182	-0.201141218273175	1	2 20	0	1
#000000	4	-0.158883083359672	1	2 20	0	1
#000000	4	-4.31776616671934	1	2 20	0	1
#000000	4	-0.158883083359672	1	2 20	0	1
#000000	4.18181818181818	-0.110420189253992	1	2 20	0	1
#000000	4.18181818181818	-4.40265856032617	1	2 20	0	1
#000000	4.18181818181818	-0.110420189253992	1	2 20	0	1
#000000	4.36363636363636	-0.0562808506921977	1	2 20	0	1
#000000	4.36363636363636	-4.47619806502076	1	2 20	0	1
#000000	4.36363636363636	-0.0562808506921977	1	2 20	0	1
#000000	4.54545454545455	0.00307134756521865	1	2 20	0	1
#000000	4.54545454545455	-4.53931185032411	1	2 20	0	1
#000000	4.54545454545455	0.00307134756521865	1	2 20	0	1
#000000	4.72727272727273	0.0672273899235565	1	2 20	0	1
#000000	4.72727272727273	-4.59281794742562	1	2 20	0	1
#000000	4.72727272727273	0.0672273899235565	1	2 20	0	1
#000000	4.90909090909091	0.135824587793198	1	2 20	0	1
#000000	4.90909090909091	-4.63744173350451	1	2 20	0	1
#000000	4.90909090909091	0.135824587793198	1	2 20	0	1
#000000	5.09090909090909	0.208539837098755	1	2 20	0	1
#000000	5.09090909090909	-4.67382941671158	1	2 20	0	1
#000000	5.09090909090909	0.208539837098755	1	2 20	0	1
#000000	5.27272727272727	0.285084059483127	1	2 20	0	1
#000000	5.27272727272727	-4.70255915376102	1	2 20	0	1
#000000	5.27272727272727	0.285084059483127	1	2 20	0	1
#000000	5.45454545454546	0.365197586274265	1	2 20	0	1
#000000	5.45454545454546	-4.72415028199693	1	2 20	0	1
#000000	5.45454545454546	0.365197586274265	1	2 20	0	1
#000000	5.63636363636364	0.448646299623474	1	2 20	0	1
#000000	5.63636363636364	-4.73907103711669	1	2 20	0	1
#000000	5.63636363636364	0.448646299623474	1	2 20	0	1
#000000	5.81818181818182	0.535218386497915	1	2 20	0	1
#000000	5.81818181818182	-4.74774504518599	1	2 20	0	1
#000000	5.81818181818182	0.535218386497915	1	2 20	0	1
#000000	6	0.624721592315835	1	2 20	0	1
#000000	6	-4.75055681536833	1	2 20	0	1
#000000	6	0.624721592315835	1	2 20	0	1
#000000	6.18181818181818	0.716980884684974	1	2 20	0	1
#000000	6.18181818181818	-4.74785641244823	1	2 20	0	1
#000000	6.18181818181818	0.716980884684974	1	2 20	0	1
#000000	6.36363636363636	0.811836455883398	1	2 20	0	1
#000000	6.36363636363636	-4.73996345186957	1	2 20	0	1
#000000	6.36363636363636	0.811836455883398	1	2 20	0	1
#000000	6.54545454545455	0.909142006801491	1	2 20	0	1
#000000	6.54545454545455	-4.72717053185156	1	2 20	0	1
#000000	6.54545454545455	0.909142006801491	1	2 20	0	1
#000000	6.72727272727273	1.00876326605533	1	2 20	0	1
#000000	6.72727272727273	-4.70974619516207	1	2 20	0	1
#000000	6.72727272727273	1.00876326605533	1	2 20	0	1
#000000	6.90909090909091	1.11057670662703	1	2 20	0	1
#000000	6.90909090909091	-4.68793749583686	1	2 20	0	1
#000000	6.90909090909091	1.11057670662703	1	2 20	0	1
#000000	7.09090909090909	1.21446842923543	1	2 20	0	1
#000000	7.09090909090909	-4.66197223243824	1	2 20	0	1
#000000	7.09090909090909	1.21446842923543	1	2 20	0	1
#000000	7.27272727272727	1.32033318710074	1	2 20	0	1
#000000	7.27272727272727	-4.63206089852579	1	2 20	0	1
#000000	7.27272727272727	1.32033318710074	1	2 20	0	1
#000000	7.45454545454546	1.42807353114781	1	2 20	0	1
#000000	7.45454545454546	-4.59839839224984	1	2 20	0	1
#000000	7.45454545454546	1.42807353114781	1	2 20	0	1
#000000	7.63636363636364	1.53759905822881	1	2 20	0	1
#000000	7.63636363636364	-4.56116551990602	1	2 20	0	1
#000000	7.63636363636364	1.53759905822881	1	2 20	0	1
#000000	7.81818181818182	1.64882574781641	1	2 20	0	1
#000000	7.81818181818182	-4.52053032254901	1	2 20	0	1
#000000	7.81818181818182	1.64882574781641	1	2 20	0	1
#000000	8	1.76167537496049	1	2 20	0	1
#000000	8	-4.47664925007901	1	2 20	0	1
#000000	8	1.76167537496049	1	2 20	0	1
#000000	8.18181818181818	1.8760749892225	1	2 20	0	1
#000000	8.18181818181818	-4.42966820337318	1	2 20	0	1
#000000	8.18181818181818	1.8760749892225	1	2 20	0	1
#000000	8.36363636363636	1.99195645088435	1	2 20	0	1
#000000	8.36363636363636	-4.37972346186766	1	2 20	0	1
#000000	8.36363636363636	1.99195645088435	1	2 20	0	1
#000000	8.54545454545455	2.10925601703965	1	2 20	0	1
#000000	8.54545454545455	-4.32694251137525	1	2 20	0	1
#000000	8.54545454545455	2.10925601703965	1	2 20	0	1
#000000	8.72727272727273	2.22791397126433	1	2 20	0	1
#000000	8.72727272727273	-4.27144478474407	1	2 20	0	1
#000000	8.72727272727273	2.22791397126433	1	2 20	0	1
#000000	8.90909090909091	2.34787429147431	1	2 20	0	1
#000000	8.90909090909091	-4.2133423261423	1	2 20	0	1
#000000	8.90909090909091	2.34787429147431	1	2 20	0	1
#000000	9.09090909090909	2.46908435133993	1	2 20	0	1
#000000	9.09090909090909	-4.15274038822923	1	2 20	0	1
#000000	9.09090909090909	2.46908435133993	1	2 20	0	1
#000000	9.27272727272727	2.59149465126957	1	2 20	0	1
#000000	9.27272727272727	-4.08973797018813	1	2 20	0	1
#000000	9.27272727272727	2.59149465126957	1	2 20	0	1
#000000	9.45454545454546	2.71505857551645	1	2 20	0	1
#000000	9.45454545454546	-4.02442830351256	1	2 20	0	1
#000000	9.45454545454546	2.71505857551645	1	2 20	0	1
#000000	9.63636363636364	2.83973217242255	1	2 20	0	1
#000000	9.63636363636364	-3.95689929151854	1	2 20	0	1
#000000	9.63636363636364	2.83973217242255	1	2 20	0	1
#000000	9.81818181818182	2.96547395520427	1	2 20	0	1
#000000	9.81818181818182	-3.88723390777328	1	2 20	0	1
#000000	9.81818181818182	2.96547395520427	1	2 20	0	1
#000000	10	3.09224472101786	1	2 20	0	1
#000000	10	-3.81551055796428	1	2 20	0	1
#000000	10	3.09224472101786	1	2 20	0	1
#000000	10.1818181818182	3.22000738632801	1	2 20	0	1
#000000	10.1818181818182	-3.74180340916216	1	2 20	0	1
#000000	10.1818181818182	3.22000738632801	1	2 20	0	1
#000000	10.3636363636364	3.34872683684799	1	2 20	0	1
#000000	10.3636363636364	-3.66618268994039	1	2 20	0	1
#000000	10.3636363636364	3.34872683684799	1	2 20	0	1
#000000	10.5454545454545	3.47836979053056	1	2 20	0	1
#000000	10.5454545454545	-3.58871496439342	1	2 20	0	1
#000000	10.5454545454545	3.47836979053056	1	2 20	0	1
#000000	10.7272727272727	3.60890467227084	1	2 20	0	1
#000000	10.7272727272727	-3.50946338273104	1	2 20	0	1
#000000	10.7272727272727	3.60890467227084	1	2 20	0	1
#000000	10.9090909090909	3.74030149913988	1	2 20	0	1
#000000	10.9090909090909	-3.42848791081114	1	2 20	0	1
#000000	10.9090909090909	3.74030149913988	1	2 20	0	1
#000000	11.0909090909091	3.87253177510443	1	2 20	0	1
#000000	11.0909090909091	-3.34584554070023	1	2 20	0	1
#000000	11.0909090909091	3.87253177510443	1	2 20	0	1
#000000	11.2727272727273	4.00556839430727	1	2 20	0	1
#000000	11.2727272727273	-3.26159048411273	1	2 20	0	1
#000000	11.2727272727273	4.00556839430727	1	2 20	0	1
#000000	11.4545454545455	4.13938555208613	1	2 20	0	1
#000000	11.4545454545455	-3.17577435037319	1	2 20	0	1
#000000	11.4545454545455	4.13938555208613	1	2 20	0	1
#000000	11.6363636363636	4.2739586629999	1	2 20	0	1
#000000	11.6363636363636	-3.08844631036384	1	2 20	0	1
#000000	11.6363636363636	4.2739586629999	1	2 20	0	1
#000000	11.8181818181818	4.40926428521018	1	2 20	0	1
#000000	11.8181818181818	-2.99965324776145	1	2 20	0	1
#000000	11.8181818181818	4.40926428521018	1	2 20	0	1
#000000	12	4.545280050636	1	2 20	0	1
#000000	12	-2.909439898728	1	2 20	0	1
#000000	12	4.545280050636	1	2 20	0	1
#000000	12.1818181818182	4.68198460036056	1	2 20	0	1
#000000	12.1818181818182	-2.81784898109706	1	2 20	0	1
